,Identification (I),Identification (I),Identification (I),Identification (I),Identification (I),Identification (I),Identification (I),Classification (C),Classification (C),Classification (C),Quantification (Q),Quantification (Q)
,F1,F1,F1,F1,F1,F1,F1,NMAE,NMAE,NMAE,NMAE,NMAE
,Seed Morphology,Seed Morphology,Foliar Stress,Foliar Stress,Foliar Stress,Invasive Species,Invasive Species,Disease Severity,Stress Tolerance,Stress Tolerance,Pest,Disease
,Durum Wheat,Soybean Seeds,Mango Leaf Disease,Bean Leaf Lesions,Soybean Diseases,Dangerous Insects,DeepWeeds,Yellow Rust 19,IDC,FUSARIUM 22,InsectCount,PlantDoc
Model,,,,,,,,,,,,
Gemini-pro-1.5,74.03,37.37,52.81,74.66,23.23,83.69,47.23,20.0,23.72,20.5,20.64,12.29
GPT-4o,85.19,38.35,63.11,72.72,59.26,82.18,39.87,20.0,18.11,22.5,7.57,13.12
LLaVA v1.6 34B,35.72,19.15,15.89,38.72,13.38,23.6,5.42,36.46,47.35,32.0,16.13,29.51
Claude-3.5-sonnet,77.76,48.68,49.23,73.55,8.23,84.2,23.59,16.46,19.9,20.0,10.05,13.92
Gemini-flash-1.5,61.04,30.19,47.14,62.79,13.58,78.62,33.76,24.38,21.17,26.0,9.18,13.92
Claude-3-haiku,32.99,30.23,28.17,58.08,4.56,54.51,14.15,40.83,21.02,28.25,16.71,15.9
