,Identification (I),Identification (I),Identification (I),Identification (I),Identification (I),Identification (I),Identification (I),Classification (C),Classification (C),Classification (C),Quantification (Q),Quantification (Q)
,F1,F1,F1,F1,F1,F1,F1,NMAE,NMAE,NMAE,NMAE,NMAE
,Seed Morphology,Seed Morphology,Foliar Stress,Foliar Stress,Foliar Stress,Invasive Species,Invasive Species,Disease Severity,Stress Tolerance,Stress Tolerance,Pest,Disease
,Durum Wheat,Soybean Seeds,Mango Leaf Disease,Bean Leaf Lesions,Soybean Diseases,Dangerous Insects,DeepWeeds,Yellow Rust 19,IDC,FUSARIUM 22,InsectCount,PlantDoc
Model,,,,,,,,,,,,
Gemini-pro-1.5,77.45,38.12,47.11,74.15,26.13,86.53,46.76,18.33,14.03,16.25,15.82,14.65
GPT-4o,92.89,39.16,63.33,85.8,24.07,85.52,47.93,19.79,13.47,19.5,6.36,10.96
LLaVA v1.6 34B,32.73,22.7,20.02,38.26,11.73,19.02,11.87,34.2,60.82,42.0,14.74,31.68
Claude-3.5-sonnet,79.07,48.23,54.72,78.5,14.51,82.59,22.61,17.71,16.07,17.0,7.32,13.09
Gemini-flash-1.5,70.65,34.51,49.21,75.76,15.96,77.74,42.53,24.38,18.37,19.0,6.25,14.8
Claude-3-haiku,42.27,34.25,39.24,45.5,11.48,52.15,16.47,28.99,26.33,26.25,17.64,18.77
