,0,1,hierarchy,Embedding Example Paths kingdom 1,Embedding Example Categories kingdom 1,Random Example Paths kingdom 1,Random Example Categories kingdom 1,Embedding Example Paths phylum 1,Embedding Example Categories phylum 1,Random Example Paths phylum 1,Random Example Categories phylum 1,Embedding Example Paths class 1,Embedding Example Categories class 1,Random Example Paths class 1,Random Example Categories class 1,Embedding Example Paths order 1,Embedding Example Categories order 1,Random Example Paths order 1,Random Example Categories order 1,Random Example Paths family 1,Random Example Categories family 1,Embedding Example Paths family 1,Embedding Example Categories family 1,Embedding Example Paths genus 1,Embedding Example Categories genus 1,Random Example Paths genus 1,Random Example Categories genus 1,Embedding Example Paths species 1,Embedding Example Categories species 1,Random Example Paths species 1,Random Example Categories species 1,Random kingdom 1,Random phylum 1,Random class 1,Random order 1,Random family 1,Random genus 1,Random species 1,Embedding kingdom 1,Embedding phylum 1,Embedding class 1,Embedding order 1,Embedding family 1,Embedding genus 1,Embedding species 1
0,./biotrove-data/images/94135725.jpg,Abies numidica,"{'kingdom': 'Plantae', 'phylum': 'Tracheophyta', 'class': 'Pinopsida', 'order': 'Pinales', 'family': 'Pinaceae', 'genus': 'Abies', 'species': 'numidica'}",['./biotrove-data/images/94135725.jpg'],['Plantae'],['./biotrove-data/images/94135725.jpg'],['Plantae'],['./biotrove-data/images/94135725.jpg'],['Tracheophyta'],,,['./biotrove-data/images/94135725.jpg'],['Pinopsida'],,,['./biotrove-data/images/94135725.jpg'],['Pinales'],,,,,['./biotrove-data/images/94135725.jpg'],['Pinaceae'],['./biotrove-data/images/94135725.jpg'],['Abies'],,,['./biotrove-data/images/94135725.jpg'],['numidica'],,,NA,,,,,,,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,numidica
1,./biotrove-data/images/176766733.jpg,Aeromachus dubius,"{'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Lepidoptera', 'family': 'Hesperiidae', 'genus': 'Aeromachus', 'species': 'dubius'}",['./biotrove-data/images/176766733.jpg'],['Animalia'],['./biotrove-data/images/94135725.jpg'],['Plantae'],['./biotrove-data/images/176766733.jpg'],['Arthropoda'],,,['./biotrove-data/images/176766733.jpg'],['Insecta'],,,['./biotrove-data/images/176766733.jpg'],['Lepidoptera'],,,,,['./biotrove-data/images/176766733.jpg'],['Hesperiidae'],['./biotrove-data/images/176766733.jpg'],['Aeromachus'],,,['./biotrove-data/images/176766733.jpg'],['dubius'],,,NA,,,,,,,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Aeromachus,dubius
2,./biotrove-data/images/13239012.jpg,Aerodramus sawtelli,"{'kingdom': 'Animalia', 'phylum': 'Chordata', 'class': 'Aves', 'order': 'Caprimulgiformes', 'family': 'Apodidae', 'genus': 'Aerodramus', 'species': 'sawtelli'}",['./biotrove-data/images/13239012.jpg'],['Animalia'],['./biotrove-data/images/94135725.jpg'],['Plantae'],,,['./biotrove-data/images/94135725.jpg'],['Tracheophyta'],,,['./biotrove-data/images/94135725.jpg'],['Pinopsida'],,,['./biotrove-data/images/94135725.jpg'],['Pinales'],['./biotrove-data/images/94135725.jpg'],['Pinaceae'],,,,,['./biotrove-data/images/94135725.jpg'],['Abies'],,,['./biotrove-data/images/94135725.jpg'],['numidica'],Animalia,Chordata,Aves,Caprimulgiformes,Apodidae,Aerodramus,sawtelli,NA,,,,,,
3,./biotrove-data/images/134019735.jpg,Abies numidica,"{'kingdom': 'Plantae', 'phylum': 'Tracheophyta', 'class': 'Pinopsida', 'order': 'Pinales', 'family': 'Pinaceae', 'genus': 'Abies', 'species': 'numidica'}",['./biotrove-data/images/134019735.jpg'],['Plantae'],['./biotrove-data/images/94135725.jpg'],['Plantae'],['./biotrove-data/images/134019735.jpg'],['Tracheophyta'],['./biotrove-data/images/94135725.jpg'],['Tracheophyta'],['./biotrove-data/images/134019735.jpg'],['Pinopsida'],['./biotrove-data/images/94135725.jpg'],['Pinopsida'],['./biotrove-data/images/134019735.jpg'],['Pinales'],['./biotrove-data/images/94135725.jpg'],['Pinales'],['./biotrove-data/images/94135725.jpg'],['Pinaceae'],['./biotrove-data/images/134019735.jpg'],['Pinaceae'],['./biotrove-data/images/134019735.jpg'],['Abies'],['./biotrove-data/images/94135725.jpg'],['Abies'],['./biotrove-data/images/134019735.jpg'],['numidica'],['./biotrove-data/images/94135725.jpg'],['numidica'],Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,numidica,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,numidica
4,./biotrove-data/images/57819489.jpg,Acrocephalus rodericanus,"{'kingdom': 'Animalia', 'phylum': 'Chordata', 'class': 'Aves', 'order': 'Passeriformes', 'family': 'Acrocephalidae', 'genus': 'Acrocephalus', 'species': 'rodericanus'}",['./biotrove-data/images/57819489.jpg'],['Animalia'],['./biotrove-data/images/94135725.jpg'],['Plantae'],,,['./biotrove-data/images/94135725.jpg'],['Tracheophyta'],,,['./biotrove-data/images/94135725.jpg'],['Pinopsida'],,,['./biotrove-data/images/94135725.jpg'],['Pinales'],['./biotrove-data/images/94135725.jpg'],['Pinaceae'],,,,,['./biotrove-data/images/94135725.jpg'],['Abies'],,,['./biotrove-data/images/94135725.jpg'],['numidica'],Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,rodericanus,NA,,,,,,
5,./biotrove-data/images/230834725.jpg,Acacia gracilifolia,"{'kingdom': 'Plantae', 'phylum': 'Tracheophyta', 'class': 'Magnoliopsida', 'order': 'Fabales', 'family': 'Fabaceae', 'genus': 'Acacia', 'species': 'gracilifolia'}",['./biotrove-data/images/230834725.jpg'],['Plantae'],['./biotrove-data/images/94135725.jpg'],['Plantae'],,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,NA,,,,,,
6,./biotrove-data/images/13265812.jpg,Acronicta cyanescens,"{'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Lepidoptera', 'family': 'Noctuidae', 'genus': 'Acronicta', 'species': 'cyanescens'}",['./biotrove-data/images/13265812.jpg'],['Animalia'],['./biotrove-data/images/94135725.jpg'],['Plantae'],['./biotrove-data/images/13265812.jpg'],['Arthropoda'],['./biotrove-data/images/94135725.jpg'],['Tracheophyta'],['./biotrove-data/images/13265812.jpg'],['Insecta'],['./biotrove-data/images/94135725.jpg'],['Pinopsida'],['./biotrove-data/images/13265812.jpg'],['Lepidoptera'],['./biotrove-data/images/94135725.jpg'],['Pinales'],['./biotrove-data/images/94135725.jpg'],['Pinaceae'],['./biotrove-data/images/13265812.jpg'],['Noctuidae'],['./biotrove-data/images/13265812.jpg'],['Acronicta'],['./biotrove-data/images/94135725.jpg'],['Abies'],['./biotrove-data/images/13265812.jpg'],['cyanescens'],['./biotrove-data/images/94135725.jpg'],['numidica'],Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Acronicta,sawtelli,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Acronicta,cyanescens
7,./biotrove-data/images/228330633.jpg,Acacia burkittii,"{'kingdom': 'Plantae', 'phylum': 'Tracheophyta', 'class': 'Magnoliopsida', 'order': 'Fabales', 'family': 'Fabaceae', 'genus': 'Acacia', 'species': 'burkittii'}",['./biotrove-data/images/228330633.jpg'],['Plantae'],['./biotrove-data/images/94135725.jpg'],['Plantae'],['./biotrove-data/images/228330633.jpg'],['Tracheophyta'],['./biotrove-data/images/94135725.jpg'],['Tracheophyta'],['./biotrove-data/images/228330633.jpg'],['Magnoliopsida'],['./biotrove-data/images/94135725.jpg'],['Pinopsida'],['./biotrove-data/images/228330633.jpg'],['Fabales'],['./biotrove-data/images/94135725.jpg'],['Pinales'],['./biotrove-data/images/94135725.jpg'],['Pinaceae'],['./biotrove-data/images/228330633.jpg'],['Fabaceae'],['./biotrove-data/images/228330633.jpg'],['Acacia'],['./biotrove-data/images/94135725.jpg'],['Abies'],['./biotrove-data/images/228330633.jpg'],['burkittii'],['./biotrove-data/images/94135725.jpg'],['numidica'],Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,burkittii,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,burkittii
8,./biotrove-data/images/339788810.jpg,Aethopyga shelleyi,"{'kingdom': 'Animalia', 'phylum': 'Chordata', 'class': 'Aves', 'order': 'Passeriformes', 'family': 'Nectariniidae', 'genus': 'Aethopyga', 'species': 'shelleyi'}",['./biotrove-data/images/339788810.jpg'],['Animalia'],['./biotrove-data/images/94135725.jpg'],['Plantae'],['./biotrove-data/images/339788810.jpg'],['Chordata'],['./biotrove-data/images/94135725.jpg'],['Tracheophyta'],['./biotrove-data/images/339788810.jpg'],['Aves'],['./biotrove-data/images/94135725.jpg'],['Pinopsida'],['./biotrove-data/images/339788810.jpg'],['Passeriformes'],['./biotrove-data/images/94135725.jpg'],['Pinales'],['./biotrove-data/images/94135725.jpg'],['Pinaceae'],['./biotrove-data/images/339788810.jpg'],['Nectariniidae'],['./biotrove-data/images/339788810.jpg'],['Aethopyga'],['./biotrove-data/images/94135725.jpg'],['Abies'],['./biotrove-data/images/339788810.jpg'],['shelleyi'],['./biotrove-data/images/94135725.jpg'],['numidica'],Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Aethopyga,hammondii,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Aethopyga,shelleyi
9,./biotrove-data/images/343057733.jpg,Aeromachus dubius,"{'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Lepidoptera', 'family': 'Hesperiidae', 'genus': 'Aeromachus', 'species': 'dubius'}",['./biotrove-data/images/343057733.jpg'],['Animalia'],['./biotrove-data/images/94135725.jpg'],['Plantae'],['./biotrove-data/images/343057733.jpg'],['Arthropoda'],['./biotrove-data/images/94135725.jpg'],['Tracheophyta'],['./biotrove-data/images/343057733.jpg'],['Insecta'],['./biotrove-data/images/94135725.jpg'],['Pinopsida'],['./biotrove-data/images/343057733.jpg'],['Lepidoptera'],['./biotrove-data/images/94135725.jpg'],['Pinales'],['./biotrove-data/images/94135725.jpg'],['Pinaceae'],['./biotrove-data/images/343057733.jpg'],['Hesperiidae'],['./biotrove-data/images/343057733.jpg'],['Aeromachus'],['./biotrove-data/images/94135725.jpg'],['Abies'],['./biotrove-data/images/343057733.jpg'],['dubius'],['./biotrove-data/images/94135725.jpg'],['numidica'],Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Aeromachus,dubius,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Aeromachus,dubius
