,Identification (I),Identification (I),Identification (I),Identification (I),Identification (I),Identification (I),Identification (I),Classification (C),Classification (C),Quantification (Q),Quantification (Q)
,F1 Score,F1 Score,F1 Score,F1 Score,F1 Score,F1 Score,F1 Score,NMAE,NMAE,NMAE,NMAE
,Crop Type,Crop Type,Disease Type,Disease Type,Pest Type,Pest Type,Disease Stage,Disease Stage,Leaf Health,Pest Count,Disease Quantification
,Durum Wheat,Soybean Seeds,Mango Leaf Disease,Bean Leaf Lesions,DeepWeeds,IP02,SBRD,Yellow Rust 19,FUSARIUM 22,InsectCount,PlantDoc
Model,,,,,,,,,,,
GPT-4o,59.24,23.96,62.74,80.26,24.21,19.61,44.14,20.0,32.5,32.0,39.92
LLaVA v1.6 34B,30.45,28.19,15.59,51.21,8.73,0.0,5.56,34.67,24.67,23.45,40.56
Claude-3.5-sonnet,55.56,42.13,49.12,78.67,13.57,,12.59,19.33,15.0,21.56,19.44
Gemini-flash-1.5,46.18,26.12,55.71,73.33,39.14,17.81,16.3,34.0,21.67,22.0,77.4
Claude-3-haiku,41.27,36.41,17.59,54.73,6.95,,12.06,34.67,20.83,30.67,26.44
Claude-3-sonnet,39.25,29.44,18.07,48.29,7.77,,22.22,33.33,,,
