,Identification (I),Identification (I),Identification (I),Identification (I),Identification (I),Identification (I),Identification (I),Classification (C),Classification (C),Quantification (Q),Quantification (Q)
,F1 Score,F1 Score,F1 Score,F1 Score,F1 Score,F1 Score,F1 Score,NMAE,NMAE,NMAE,NMAE
,Crop Type,Crop Type,Disease Type,Disease Type,Pest Type,Pest Type,Disease Stage,Disease Stage,Leaf Health,Pest Count,Disease Quantification
,Durum Wheat,Soybean Seeds,Mango Leaf Disease,Bean Leaf Lesions,DeepWeeds,IP02,SBRD,Yellow Rust 19,FUSARIUM 22,InsectCount,PlantDoc
Model,,,,,,,,,,,
GPT-4o,78.02,42.88,65.15,80.31,39.59,18.97,57.3,16.0,21.67,11.56,14.46
LLaVA v1.6 34B,44.74,23.3,19.32,31.34,0.0,0.0,16.97,33.33,34.0,20.56,37.9
Claude-3.5-sonnet,78.02,58.45,46.43,73.63,12.31,,21.9,16.67,20.83,13.56,16.84
Gemini-flash-1.5,65.28,34.31,55.21,58.48,31.31,21.9,29.72,30.0,27.5,16.0,46.55
Claude-3-haiku,33.9,29.14,36.34,53.01,13.87,,11.11,36.0,30.0,21.33,22.66
Claude-3-sonnet,67.36,31.81,24.77,44.45,3.3,,10.27,17.33,,,
