,Identification (I),Identification (I),Identification (I),Identification (I),Identification (I),Identification (I),Identification (I),Classification (C),Classification (C),Quantification (Q),Quantification (Q)
,F1 Score,F1 Score,F1 Score,F1 Score,F1 Score,F1 Score,F1 Score,NMAE,NMAE,NMAE,NMAE
,Crop Type,Crop Type,Disease Type,Disease Type,Pest Type,Pest Type,Disease Stage,Disease Stage,Leaf Health,Pest Count,Disease Quantification
,Durum Wheat,Soybean Seeds,Mango Leaf Disease,Bean Leaf Lesions,DeepWeeds,IP02,SBRD,Yellow Rust 19,FUSARIUM 22,InsectCount,PlantDoc
Model,,,,,,,,,,,
GPT-4o,73.41,33.33,58.57,83.31,43.33,23.69,27.59,16.67,22.5,19.11,27.97
LLaVA v1.6 34B,46.54,19.88,8.33,49.1,12.43,0.0,18.11,30.0,35.33,25.54,44.65
Claude-3.5-sonnet,55.56,43.39,38.1,79.37,16.88,,20.35,16.67,20.0,12.89,16.67
Gemini-flash-1.5,66.67,21.22,45.99,64.55,38.21,23.09,20.22,29.33,20.83,19.56,33.39
Claude-3-haiku,24.16,32.71,34.17,59.24,5.95,,16.88,32.67,34.17,25.33,26.5
Claude-3-sonnet,57.82,45.76,29.58,59.87,8.54,,13.18,28.67,,,
